legacy_id,name,abbreviation,group_legacy_id,is_giant,is_three_quarters,default_height_inches,has_variety,has_division,display_order,source_date_added
1,Affenpinscher,Affenpinscher,5,false,false,10,false,false,1,01/26/17 00:00:00
2,Afghan Hound,Afghan Hound,2,false,false,26,false,false,1,01/26/17 00:00:00
3,Airedale Terrier,Airedale Terrier,4,false,false,24,false,false,1,01/26/17 00:00:00
4,Akita,Akita,3,false,false,26,false,false,1,01/26/17 00:00:00
5,Alaskan Malamute,Alaskan Malamute,3,false,false,24,false,false,2,01/26/17 00:00:00
7,American English Coonhound,Coonhound,2,false,false,24,false,false,2,01/26/17 00:00:00
8,American Eskimo Dog,American Eskimo Dog,6,false,false,16,false,false,1,01/26/17 00:00:00
9,American Foxhound,American Foxhound,2,false,false,24,false,false,3,01/26/17 00:00:00
10,American Staffordshire Terrier,AmStaff,4,false,false,18,false,false,3,01/26/17 00:00:00
11,American Water Spaniel,American Water Spaniel,1,false,false,16,false,false,1,01/26/17 00:00:00
12,Appenzeller Sennenhund,Appen Sennenhund,9,false,false,22,false,false,3,01/26/17 00:00:00
14,Australian Cattle Dog,Australian Cattle Dog,7,false,false,18,false,true,1,01/26/17 00:00:00
15,Australian Kelpie,Australian Kelpie,9,false,false,20,false,false,4,01/26/17 00:00:00
16,Australian Shepherd,Australian Shepherd,7,false,false,20,false,true,2,01/26/17 00:00:00
17,Australian Terrier,Australian Terrier,4,false,false,10,false,false,4,01/26/17 00:00:00
18,Azawakh,Azawakh,2,false,false,26,false,false,4,01/26/17 00:00:00
19,Basenji,Basenji,2,false,false,16,false,false,5,01/26/17 00:00:00
20,Basset Hound,Basset Hound,2,false,true,14,false,false,6,01/26/17 00:00:00
21,Beagle,Beagle,2,false,false,14,true,false,7,01/26/17 00:00:00
22,Bearded Collie,Bearded Collie,7,false,false,22,false,false,3,01/26/17 00:00:00
23,Beauceron,Beauceron,7,false,false,26,false,false,4,01/26/17 00:00:00
24,Bedlington Terrier,Bedlington Terrier,4,false,false,16,false,false,5,01/26/17 00:00:00
25,Belgian Laekenois,Belgian Laekenois,7,false,false,24,false,false,5,01/26/17 00:00:00
26,Belgian Malinois,Belgian Malinois,7,false,false,24,false,false,6,01/26/17 00:00:00
27,Belgian Sheepdog,Belgian Sheepdog,7,false,false,24,false,false,7,01/26/17 00:00:00
28,Belgian Tervuren,Belgian Tervuren,7,false,false,24,false,false,8,01/26/17 00:00:00
29,Bergamasco,Bergamasco,7,false,true,22,false,false,9,01/26/17 00:00:00
30,Bernese Mountain Dog,Berner,3,false,true,26,false,false,4,01/26/17 00:00:00
31,Bichon Frise,Bichon Frise,6,false,false,10,false,false,2,01/26/17 00:00:00
32,Black and Tan Coonhound,Coonhound,2,false,false,26,false,false,8,01/26/17 00:00:00
33,Black Russian Terrier,Black Russian Terr,3,false,true,28,false,false,5,01/26/17 00:00:00
34,Bloodhound,Bloodhound,2,false,true,26,false,false,9,01/26/17 00:00:00
35,Bluetick Coonhound,Bluetick Coonhound,2,false,false,24,false,false,10,01/26/17 00:00:00
36,Bolognese,Bolognese,9,false,false,12,false,false,16,01/26/17 00:00:00
37,Border Collie,Border Collie,7,false,false,22,false,true,11,01/26/17 00:00:00
38,Border Terrier,Border Terrier,4,false,false,14,false,false,6,01/26/17 00:00:00
39,Borzoi,Borzoi,2,false,true,28,false,false,11,01/26/17 00:00:00
40,Boston Terrier,Boston Terrier,6,false,false,10,false,false,3,01/26/17 00:00:00
41,Bouvier des Flandres,Bouvier,7,false,false,26,false,false,12,01/26/17 00:00:00
42,Boxer,Boxer,3,false,false,24,false,false,7,01/26/17 00:00:00
43,Boykin Spaniel,Boykin Spaniel,1,false,false,18,false,false,3,01/26/17 00:00:00
44,Briard,Briard,7,false,false,26,false,false,13,01/26/17 00:00:00
45,Brittany,Brittany,1,false,false,20,false,false,4,01/26/17 00:00:00
46,Brussels Griffon,Brussels Griffon,5,false,false,8,false,false,2,01/26/17 00:00:00
47,Bull Terrier,Bull Terrier,4,false,false,22,true,false,7,01/26/17 00:00:00
48,Bulldog,Bulldog,6,false,true,14,false,false,4,01/26/17 00:00:00
49,Bullmastiff,Bullmastiff,3,false,true,26,false,false,8,01/26/17 00:00:00
50,Cairn Terrier,Cairn Terrier,4,false,false,10,false,false,8,01/26/17 00:00:00
51,Canaan Dog,Canaan Dog,7,false,false,22,false,false,14,01/26/17 00:00:00
52,Cane Corso,Cane Corso,3,false,false,24,false,false,9,01/26/17 00:00:00
53,Cardigan Welsh Corgi,Cardi Corgi,7,false,true,12,false,false,15,01/26/17 00:00:00
