legacy_id,name,sport,class_type,akc_class_code,moveup_target_legacy_id,is_sanctioned,actual_class_name,is_displayed,has_jump,has_multiple_entries,max_total_score,default_dogs_per_hour,has_broad_jump,has_walkthrough
1,Transfer to Novice A,Obedience,Regular,1,1,true,Novice A,false,false,false,200,9,false,true
2,Novice A,Obedience,Regular,1,2,true,Novice A,true,false,false,200,9,false,true
3,Transfer to Novice B,Obedience,Regular,2,1,true,Novice B,false,false,false,200,9,false,false
4,Novice B,Obedience,Regular,2,2,true,Novice B,true,false,false,200,9,false,false
5,Transfer to Open A,Obedience,Regular,3,1,true,Open A,false,true,false,200,8,true,false
6,Open A,Obedience,Regular,3,2,true,Open A,true,true,false,200,8,true,false
7,Transfer to Open B,Obedience,Regular,4,1,true,Open B,false,true,false,200,8,true,false
8,Open B,Obedience,Regular,4,2,true,Open B,true,true,false,200,8,true,false
9,Transfer to Utility A,Obedience,Regular,5,1,true,Utility A,false,true,false,200,7,false,false
10,Utility A,Obedience,Regular,5,2,true,Utility A,true,true,false,200,7,false,false
11,Transfer to Utility B,Obedience,Regular,6,1,true,Utility B,false,true,false,200,7,false,false
12,Utility B,Obedience,Regular,6,2,true,Utility B,true,true,false,200,7,false,false
13,Transfer to Beginner Novice A,Obedience,Optional Titling,7,1,true,Beginner Novice A,false,false,false,200,10,false,true
14,Beginner Novice A,Obedience,Optional Titling,7,2,true,Beginner Novice A,true,false,false,200,10,false,true
15,Transfer to Beginner Novice B,Obedience,Optional Titling,8,1,true,Beginner Novice B,false,false,false,200,10,false,true
16,Beginner Novice B,Obedience,Optional Titling,8,2,true,Beginner Novice B,true,false,false,200,10,false,true
17,Transfer to Pre-Novice,Obedience,Optional Titling,9,1,false,Pre-Novice,false,false,false,200,9,false,true
18,Pre-Novice,Obedience,Optional Titling,9,2,false,Pre-Novice,false,false,false,200,9,false,true
19,Transfer to Graduate Novice,Obedience,Optional Titling,10,1,true,Graduate Novice,false,true,false,200,8,true,false
20,Graduate Novice,Obedience,Optional Titling,10,2,true,Graduate Novice,true,true,false,200,8,true,false
21,Transfer to Pre-Open,Obedience,Optional Titling,11,1,false,Pre-Open,false,true,false,200,8,true,false
