legacy_id,code,long_name,sport_scope_code,sport_scope_description,source_organization,display_order
1,VCD1,Versatile Companion Dog 1,V,Multi-sport (Obedience + Agility + Tracking),AKC,1
2,VCD2,Versatile Companion Dog 2,V,Multi-sport (Obedience + Agility + Tracking),AKC,2
3,VCD3,Versatile Companion Dog 3,V,Multi-sport (Obedience + Agility + Tracking),AKC,3
4,VCD4,Versatile Companion Dog 4,V,Multi-sport (Obedience + Agility + Tracking),AKC,4
11,CD,Companion Dog,O,Obedience,AKC,5
12,CDX,Companion Dog Excellent,O,Obedience,AKC,6
13,UD,Utility Dog,O,Obedience,AKC,7
14,UDX,Utility Dog Excellent,O,Obedience,AKC,8
15,OM,Obedience Master,O,Obedience,AKC,9
16,OGM,Obedience Grand Master,O,Obedience,AKC,10
17,BN,Beginner Novice,O,Obedience,AKC,11
18,GN,Graduate Novice,O,Obedience,AKC,12
19,GO,Graduate Open,O,Obedience,AKC,13
20,VER,Versatility,O,Obedience,AKC,14
31,RN,Rally Novice,R,Rally,AKC,15
32,RA,Rally Advanced,R,Rally,AKC,16
33,RE,Rally Excellent,R,Rally,AKC,17
34,RAE,Rally Advanced Excellent,R,Rally,AKC,18
41,TD,Tracking Dog,T,Tracking,AKC,19
42,TDX,Tracking Dog Excellent,T,Tracking,AKC,20
44,VST,Variable Surface Tracking,T,Tracking,AKC,21
51,JH,Junior Hunter,F,Hunt Test,AKC,22
52,SH,Senior Hunter,F,Hunt Test,AKC,23
53,MH,Master Hunter,F,Hunt Test,AKC,24
54,MNH,Master National Hunter,F,Hunt Test,AKC,25
61,HT,Herding Tested,H,Herding,AKC,26
62,PT,Pre-Trial Tested,H,Herding,AKC,27
63,HS,Herding Started,H,Herding,AKC,28
64,HI,Herding Intermediate,H,Herding,AKC,29
65,HX,Herding Excellent,H,Herding,AKC,30
71,JC,Junior Courser,L,Lure Coursing,AKC,31
72,SC,Senior Courser,L,Lure Coursing,AKC,32
73,MC,Master Courser,L,Lure Coursing,AKC,33
74,LCX,Lure Courser Excellent,L,Lure Coursing,AKC,34
81,CA,Coursing Ability,C,Coursing,AKC,35
82,CAA,Coursing Ability Advanced,C,Coursing,AKC,36
83,CAX,Coursing Ability Excellent,C,Coursing,AKC,37
101,NA,Novice Agility,A,Agility,AKC,38
102,OA,Open Agility,A,Agility,AKC,39
103,AX,Agility Excellent,A,Agility,AKC,40
104,MX,Master Agility Excellent,A,Agility,AKC,41
105,MXB,Master Bronze Agility,A,Agility,AKC,42
106,MXS,Master Silver Agility,A,Agility,AKC,43
107,MXG,Master Gold Agility,A,Agility,AKC,44
108,MXC,Master Century Agility,A,Agility,AKC,45
109,TQX,Triple Q Excellent,A,Agility,AKC,46
111,NAJ,Novice Agility Jumper,J,Agility Jumpers With Weaves,AKC,47
112,OAJ,Open Agility Jumper,J,Agility Jumpers With Weaves,AKC,48
113,AXJ,Excellent Agility Jumper,J,Agility Jumpers With Weaves,AKC,49
114,MXJ,Master Excellent Jumpers With Weaves,J,Agility Jumpers With Weaves,AKC,50
115,MJB,Master Bronze Jumpers With Weaves,J,Agility Jumpers With Weaves,AKC,51
116,MJS,Master Silver Jumpers With Weaves,J,Agility Jumpers With Weaves,AKC,52
117,MJG,Master Gold Jumpers With Weaves,J,Agility Jumpers With Weaves,AKC,53
118,MJC,Master Century Jumpers With Weaves,J,Agility Jumpers With Weaves,AKC,54
121,NAP,Novice Agility Preferred,P,Preferred Agility Standard,AKC,55
122,OAP,Open Agility Preferred,P,Preferred Agility Standard,AKC,56
123,AXP,Agility Excellent A Preferred,P,Preferred Agility Standard,AKC,57
124,MXP,Master Agility Excellent Preferred,P,Preferred Agility Standard,AKC,58
125,MXPB,Master Bronze Agility Preferred,P,Preferred Agility Standard,AKC,59
126,MXPS,Master Silver Agility Preferred,P,Preferred Agility Standard,AKC,60
127,MXPG,Master Gold Agility Preferred,P,Preferred Agility Standard,AKC,61
128,MXPC,Master Century Agility Preferred,P,Preferred Agility Standard,AKC,62
129,TQXP,Triple Q Excellent Preferred,P,Preferred Agility Standard,AKC,63
130,PAX,Preferred Agility Excellent,P,Preferred Agility Standard,AKC,64
131,NJP,Novice Jumpers With Weaves Preferred,Q,Preferred Agility Jumpers,AKC,65
132,OJP,Open Jumpers With Weaves Preferred,Q,Preferred Agility Jumpers,AKC,66
133,AJP,Excellent Agility Jumpers With Weaves A Preferred,Q,Preferred Agility Jumpers,AKC,67
134,MJP,Master Excellent Jumpers With Weaves Preferred,Q,Preferred Agility Jumpers,AKC,68
135,MJPB,Master Bronze Jumpers With Weaves Preferred,Q,Preferred Agility Jumpers,AKC,69
136,MJPS,Master Silver Jumpers With Weaves Preferred,Q,Preferred Agility Jumpers,AKC,70
137,MJPG,Master Gold Jumpers With Weaves Preferred,Q,Preferred Agility Jumpers,AKC,71
138,MJPC,Master Century Jumpers With Weaves Preferred,Q,Preferred Agility Jumpers,AKC,72
141,NF,Novice FAST,Y,Agility FAST,AKC,73
142,OF,Open FAST,Y,Agility FAST,AKC,74
143,XF,Excellent FAST,Y,Agility FAST,AKC,75
144,MXF,Master Excellent FAST,Y,Agility FAST,AKC,76
145,MFB,Master Bronze FAST,Y,Agility FAST,AKC,77
146,MFS,Master Silver FAST,Y,Agility FAST,AKC,78
147,MFG,Master Gold FAST,Y,Agility FAST,AKC,79
148,MFC,Master Century FAST,Y,Agility FAST,AKC,80
150,FTC,FAST Century,Y,Agility FAST,AKC,81
151,NFP,Novice FAST Preferred,Z,Preferred Agility FAST,AKC,82
152,OFP,Open FAST Preferred,Z,Preferred Agility FAST,AKC,83
153,XFP,Excellent FAST Preferred,Z,Preferred Agility FAST,AKC,84
154,MFP,Master Excellent FAST Preferred,Z,Preferred Agility FAST,AKC,85
155,MFPB,Master Bronze FAST Preferred,Z,Preferred Agility FAST,AKC,86
156,MFPS,Master Silver FAST Preferred,Z,Preferred Agility FAST,AKC,87
157,MFPG,Master Gold FAST Preferred,Z,Preferred Agility FAST,AKC,88
158,MFPC,Master Century FAST Preferred,Z,Preferred Agility FAST,AKC,89
160,FTCP,FAST Century Preferred,Z,Preferred Agility FAST,AKC,90
161,T2B,Time 2 Beat,U,Time 2 Beat,AKC,91
162,T2BP,Time 2 Beat Preferred,S,Preferred Time 2 Beat,AKC,92
201,JE,Junior Earthdog,E,Earthdog,AKC,93
202,SE,Senior Earthdog,E,Earthdog,AKC,94
203,ME,Master Earthdog,E,Earthdog,AKC,95
204,EE,Endurance Earthdog,E,Earthdog,AKC,96
991,UDTD,Utility Dog + Tracking Dog (legacy compound),V,Multi-sport legacy,AKC,97
992,UDTDX,Utility Dog + Tracking Dog Excellent (legacy compound),V,Multi-sport legacy,AKC,98
993,UDXTDX,Utility Dog Excellent + Tracking Dog Excellent (legacy compound),V,Multi-sport legacy,AKC,99
994,UDVST,Utility Dog + Variable Surface Tracking (legacy compound),V,Multi-sport legacy,AKC,100
995,UDXVST,Utility Dog Excellent + Variable Surface Tracking (legacy compound),V,Multi-sport legacy,AKC,101
996,CM,Certificate of Merit,N,Conformation,AKC,102
997,THD,Therapy Dog,D,Therapy Dog,AKC,103
998,CGC,Canine Good Citizen,X,Companion,AKC,104
